"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"LNUF"	28	4	0	0	84	49	30	0	6	2	0	34	2	60	14	48	2	12	6	4	18	0	2	16	10	20	32	0	0	14
"LNUG"	14	0	124	0	8	4	37	0	0	0	0	10	0	59	0	16	2	2	2	0	4	0	0	4	8	2	8	2	0	4
"LNUP"	2	18	0	1	22	16	10	0	1	0	0	6	0	6	4	11	4	26	0	17	22	0	0	0	4	4	32	6	0	0
"LPDT"	34	12	17602	4	100	170	175	56	24	14	1	166	4	122	136	132	32	10	11	6	74	4	16	105	65	18	262	22	4	58
"LPEA"	0	4	0	2	44	34	8	0	0	2	0	6	0	192	20	14	6	14	4	0	18	2	0	2	8	2	10	2	2	6
"LPEB"	14	8	12	0	84	12	40	0	8	0	0	18	2	36	12	32	14	6	0	8	46	2	0	16	4	16	34	6	6	18
"LPXA|RequiresSNPConfirmation"	10	0	0	2	23	72	16	0	0	0	0	29	0	3	76	16	0	2	6	1	4	0	0	0	4	0	6	0	0	0
"LPXC|RequiresSNPConfirmation"	43	39	52	2	60	952	43	0	6	0	0	309	0	27	674	32	8	2	2	21	16	0	0	36	4	18	8	8	0	10
"LRA"	452	272	5058	80	2032	1887	1092	174	364	46	16	1120	32	3099	480	910	340	386	130	501	1118	40	94	730	600	314	1920	122	208	1798
"LRG"	22	10	26	2	30	34	32	0	8	0	0	48	2	156	12	26	12	6	2	10	18	0	0	18	32	10	16	14	10	48
"LSA"	32	19	4891	2	184	62	176	12	32	6	0	63	4	150	52	122	14	29	6	36	113	0	12	43	19	38	131	0	20	17
"LSAB"	43	2	16	0	33	60	51	7	21	0	0	16	0	15	11	53	16	3	1	4	11	0	3	4	6	13	8	5	0	3
"LSAC"	26	6	2	9	31	68	56	4	0	0	0	27	0	89	22	53	19	2	2	3	21	2	4	16	33	2	6	2	0	7
"LSAE"	0	0	0	0	6	2	11	0	0	0	0	2	0	12	5	6	0	0	0	0	4	2	0	0	4	0	2	0	0	0
"LUS"	2	0	0	0	20	6	10	0	10	2	0	10	0	12	12	14	8	2	0	0	18	0	6	0	18	0	6	0	0	0
"LUT"	4	2	270	8	88	50	20	4	4	0	0	16	0	44	20	54	12	8	0	20	40	0	2	22	10	6	38	4	0	30
"M1"	2	6	26	0	12	16	22	0	4	0	0	8	0	18	4	10	2	0	0	0	6	2	0	2	2	2	18	0	2	2
"MACA"	50	24	6	24	232	92	84	14	28	6	0	58	6	82	84	82	10	40	6	24	158	8	0	40	16	56	110	10	20	34
"MACB"	398	167	605	87	1221	969	982	152	281	32	12	649	56	1688	286	721	328	394	130	362	941	40	69	352	416	212	2825	101	140	787
"MAL"	10	0	0	0	42	12	10	2	10	0	0	6	0	10	18	22	2	8	0	0	22	6	0	4	16	4	22	0	2	10
"MARA"	8	0	2543	0	28	3	23	7	2	0	0	13	0	281	0	49	10	2	0	0	12	0	2	10	24	2	49	1	0	6
"MARR"	12	6	2380	0	12	4	25	11	2	0	0	8	0	6	4	60	2	10	4	66	23	0	0	14	11	2	16	0	0	14
"MCA"	32	0	0	0	42	29	20	0	2	0	0	6	0	22	7	26	14	0	0	7	12	0	0	0	2	2	4	0	0	0
"MCO"	8	2	3055	4	22	10	44	2	4	0	0	18	4	16	8	42	4	0	2	2	18	2	6	2	6	14	28	0	0	4
"MCR"	289	70	2612	30	912	574	694	112	152	14	2	376	12	726	306	616	176	184	96	130	572	4	22	225	252	148	648	48	62	258
"MCTB"	56	36	972	14	150	316	122	30	42	10	0	234	2	384	46	106	38	18	14	22	106	2	4	34	72	30	212	14	22	194
"MDEA"	42	78	1076	12	268	421	198	28	42	18	6	367	20	1647	63	138	54	76	14	66	150	10	4	82	52	29	258	30	34	566
"MDFA"	34	6	19269	4	127	74	66	36	22	10	8	76	0	79	42	85	15	13	6	24	60	2	11	122	33	38	108	2	13	31
"MDR23S|RequiresSNPConfirmation"	509	230	294	41	2249	1168	1574	184	232	40	4	454	8	984	744	1685	504	275	153	346	1093	26	89	459	673	290	1978	94	130	264
"MDRL"	6	2	2591	0	32	12	2	5	0	0	0	10	0	50	0	14	2	6	4	6	16	0	3	2	6	0	6	0	6	10
"MDTA"	51	56	22514	11	179	154	156	39	30	10	0	256	0	210	62	248	50	32	30	117	163	0	12	104	66	26	230	9	16	84
"MDTB"	317	106	60302	27	804	657	627	123	210	28	8	625	22	1427	290	610	160	218	73	220	549	24	17	289	310	134	769	69	102	429
"MDTC"	224	87	49641	36	765	848	535	147	166	36	14	594	10	1165	260	527	175	214	26	238	491	9	41	339	201	150	798	68	98	520
"MDTE"	28	18	6398	0	48	133	66	25	19	2	12	94	12	72	26	86	14	26	8	16	74	6	12	44	35	8	187	0	14	28
"MDTF"	99	39	15510	6	240	229	175	74	33	8	4	309	8	304	214	262	70	68	26	40	116	8	14	161	97	47	364	20	52	220
"MDTG"	28	4	4587	2	65	82	47	17	26	4	0	73	6	122	6	83	12	12	4	24	54	11	2	71	30	4	139	4	4	42
"MDTH"	23	4	6333	0	95	35	36	25	18	2	2	81	0	51	56	81	12	22	6	17	42	0	2	34	16	22	89	14	10	8
"MDTI"	16	1	1263	4	37	24	32	14	6	0	4	36	1	34	4	57	2	5	4	2	25	0	2	19	39	4	56	6	13	32
"MDTJ"	7	4	1509	0	0	22	2	4	0	0	1	16	1	28	2	18	1	0	0	2	1	0	2	6	6	0	198	0	0	10
"MDTK"	41	12	14477	7	183	186	124	28	34	2	4	116	12	79	58	155	38	23	20	46	111	2	12	97	65	26	219	6	44	46
"MDTM"	22	34	7567	4	101	36	69	18	8	3	0	84	0	21	25	87	16	12	13	34	71	6	3	73	48	9	205	4	8	6
"MDTN"	24	36	7289	15	79	106	65	23	8	2	0	263	4	126	42	88	32	13	8	40	70	4	14	80	46	16	264	10	10	65
"MDTO"	50	16	11408	3	123	101	155	30	14	6	8	305	4	145	35	133	28	15	10	40	78	4	12	70	53	6	318	20	14	127
"MDTP"	36	16	9255	7	141	118	108	30	44	2	2	240	0	84	39	148	26	24	16	6	115	16	9	120	57	14	283	7	18	39
"MECA"	106	24	238	8	298	170	306	40	24	8	10	146	4	446	128	190	34	40	18	60	166	0	12	38	82	52	230	12	8	46
"MECB"	10	6	2	0	56	34	18	4	2	0	0	22	0	58	38	57	26	2	8	4	20	0	4	6	8	4	42	0	6	4
"MECC"	26	6	26	0	78	56	70	4	8	0	0	54	6	102	18	80	12	22	2	10	218	0	0	26	26	14	70	0	12	14
"MECD"	6	2	0	0	66	14	44	2	4	0	0	38	0	40	4	32	4	0	0	4	44	0	10	6	8	10	14	0	2	2
"MECI"	6	2	0	0	8	4	20	0	4	0	0	8	0	22	8	12	4	22	0	2	6	0	2	4	0	0	12	0	4	0
"MEFA"	106	31	20	15	578	494	363	7	65	0	0	128	7	1032	145	272	62	200	96	570	721	22	22	86	71	443	781	20	395	36
"MEFB"	28	8	0	0	47	46	52	0	20	2	0	27	0	116	10	28	10	4	1	12	34	0	0	8	0	2	27	2	12	14
"MEFC"	2	2	0	2	44	30	30	4	2	0	0	4	0	14	8	26	0	4	0	10	14	0	0	14	20	2	10	4	0	6
"MEFE"	18	8	0	10	46	22	58	10	14	6	0	20	0	80	8	55	15	10	4	6	38	2	2	7	14	5	22	4	2	26
"MENA|RequiresSNPConfirmation"	2	0	2360	0	20	14	8	12	0	4	0	22	0	8	0	7	8	6	0	4	12	0	0	3	16	5	10	0	0	4
"MEPA"	25	0	3105	0	23	0	52	0	6	0	0	16	0	11	19	28	8	10	2	5	10	0	4	0	25	18	15	0	0	6
"MEPB"	8	0	1315	0	4	4	24	2	2	0	0	2	0	10	8	9	2	0	0	0	4	0	2	6	3	8	2	0	0	0
"MEPR"	1	10	1238	0	4	14	2	0	0	0	0	10	0	0	0	10	0	0	0	1	0	6	0	2	2	0	1	0	4	0
"MERA"	370	231	8704	48	1350	1344	907	213	163	30	2	931	31	3495	316	998	329	310	88	370	888	16	76	382	402	214	1001	111	174	1294
"MERB"	62	60	516	22	332	258	350	40	18	12	0	132	8	388	116	230	92	54	24	58	136	6	28	94	82	38	208	12	28	154
"MERC"	62	22	806	12	168	209	110	18	39	8	0	78	1	182	52	76	68	32	26	12	90	5	10	46	54	24	96	8	18	68
"MERD"	50	14	2051	8	252	242	134	8	28	4	6	120	6	237	38	98	60	42	18	50	146	0	4	61	41	12	115	4	44	210
"MERE"	4	8	1300	3	54	78	6	12	38	0	0	40	2	58	8	34	8	5	12	14	28	0	0	22	16	13	23	2	2	45
"MERF"	18	10	1244	0	40	30	48	6	6	0	0	10	4	26	9	22	0	6	0	18	34	0	4	16	26	6	18	2	10	14
"MERG"	6	24	164	0	34	20	16	4	4	2	2	28	0	84	24	20	4	4	0	4	28	0	6	12	4	6	24	6	4	18
"MERH"	30	20	550	4	160	166	130	14	40	4	0	136	4	1314	40	110	40	58	10	22	144	6	0	38	34	48	98	24	18	162
"MERP"	78	26	1583	16	138	102	156	35	32	8	0	90	3	215	51	118	64	16	24	48	98	4	4	107	74	32	108	8	18	148
"MERR"	52	38	1561	4	125	106	101	12	38	19	8	79	0	319	48	184	25	52	14	70	154	21	4	65	62	10	133	22	16	106
"MERR1"	10	8	24	0	33	16	38	8	8	3	0	12	0	66	4	24	13	10	0	4	22	8	6	12	6	10	46	6	8	12
"MERR2"	26	8	780	8	78	100	71	22	18	12	0	82	4	122	14	146	14	40	2	36	98	0	2	36	36	8	95	4	18	80
"MERT"	62	56	3145	8	294	303	126	65	56	4	5	289	8	567	86	102	64	72	11	64	180	4	22	95	92	68	132	22	20	352
"MEXA"	64	40	9699	6	236	428	124	51	40	8	6	208	22	534	26	112	58	48	42	56	224	2	18	62	82	34	165	16	16	422
"MEXB"	225	204	22920	24	987	1369	528	148	143	22	8	762	10	1900	307	649	187	182	42	275	409	19	36	415	192	162	654	55	75	725
"MEXC"	78	68	9254	16	236	378	158	26	66	4	18	239	12	1178	56	96	73	80	20	117	172	2	30	67	90	40	388	8	50	195
"MEXD"	249	140	25385	24	838	1012	572	116	130	33	10	801	16	3299	202	388	167	231	92	204	575	38	29	274	286	108	635	63	115	917
"MEXE"	228	192	13843	52	839	830	535	104	140	28	5	754	47	4339	187	408	197	248	78	336	572	18	28	203	274	144	742	72	126	930
"MEXF"	371	373	36335	102	1752	2755	1230	365	327	60	25	1587	176	8660	407	919	407	587	126	547	1280	34	80	534	544	260	1600	169	210	2833
"MEXG"	38	34	6742	10	149	412	75	29	54	0	0	176	2	604	30	66	56	44	8	106	82	0	8	38	52	34	109	14	12	428
"MEXH"	82	30	12941	0	238	435	110	18	50	14	0	280	14	909	52	93	86	75	30	66	125	10	14	73	52	17	222	20	16	380
"MEXI"	261	214	29215	46	1021	1471	627	162	259	61	6	772	26	2641	195	467	191	332	123	228	651	29	43	346	289	130	801	64	99	1423
"MEXJ"	114	96	9510	14	504	518	344	42	60	12	8	248	24	940	96	192	88	148	22	126	350	12	0	140	180	64	446	24	82	327
"MEXK"	298	150	23948	20	1125	1963	616	114	160	36	18	1306	34	3476	221	491	238	224	50	266	547	18	34	338	328	150	771	70	76	1534
"MEXL"	36	27	5253	4	190	221	138	24	30	6	0	122	26	485	30	72	36	54	16	64	92	0	0	71	26	22	170	34	6	257
"MEXN"	267	182	38898	51	1118	1882	844	178	190	48	15	1154	116	6180	262	726	312	369	102	360	768	37	48	374	352	166	1390	100	124	2143
"MEXQ"	361	250	52723	38	1398	1766	771	224	269	48	22	1108	56	4557	266	600	271	342	113	336	782	38	58	406	329	240	1547	114	139	1514
"MEXR"	46	26	2781	10	66	90	72	8	12	4	0	32	2	376	48	72	26	28	18	19	88	4	2	28	46	18	220	1	10	54
"MEXS|RequiresSNPConfirmation"	32	26	10450	12	225	420	118	32	52	2	4	190	30	1074	34	56	46	78	6	56	135	0	8	45	45	66	162	14	32	536
"MEXT"	21	9	0	0	33	282	24	14	2	0	0	113	0	24	279	20	2	13	0	15	8	0	0	7	2	6	20	0	4	6
"MEXT|RequiresSNPConfirmation"	70	72	11049	20	248	431	172	30	46	6	4	190	2	572	64	128	88	69	18	58	158	2	4	70	92	28	492	12	58	250
"MEXV"	60	62	8863	28	272	649	204	46	86	20	14	249	38	1202	80	206	58	112	38	68	244	6	16	46	88	37	608	36	30	500
"MEXW"	178	107	22485	29	884	1771	552	109	172	26	24	958	66	3285	138	474	203	271	80	231	516	6	32	224	192	113	954	68	106	1526
"MEXX"	66	30	9799	2	279	532	200	54	58	10	0	340	36	1848	60	160	89	128	36	130	194	0	8	90	102	30	290	29	38	566
"MEXY"	208	110	23354	40	793	1871	524	100	130	16	8	1119	143	4973	193	366	162	256	66	227	570	8	24	274	198	126	622	82	118	2121
"MEXZ|RequiresSNPConfirmation"	35	12	5046	0	124	228	74	20	34	3	0	94	10	468	38	80	22	46	8	28	94	2	2	48	56	16	255	12	28	260
"MFPA"	12	4	232	2	68	34	82	12	6	2	0	20	0	202	24	30	6	14	2	10	68	2	2	20	38	20	62	12	0	48
"MGRA"	4	0	1376	2	12	6	3	0	0	0	0	0	0	2	8	12	0	1	0	3	0	0	0	0	0	0	12	0	0	0
"MGT"	54	44	1458	14	298	442	172	38	60	10	4	314	24	1660	52	138	46	142	18	96	156	6	10	76	82	34	512	22	58	566
"MGTA"	145	78	23004	38	607	432	388	112	104	26	3	348	14	1006	142	572	134	176	46	177	456	18	24	210	152	130	658	56	63	350
"MIR"	14	12	638	0	136	50	96	34	16	0	0	34	2	80	22	70	12	39	12	20	62	2	6	30	22	20	80	0	18	10
"MLS23S|RequiresSNPConfirmation"	137134	47402	293691	11552	429155	410024	295760	46329	45884	10108	616	146657	6240	509758	175890	303943	123450	75288	29675	74806	207788	7159	16508	92648	116342	56349	352746	23426	34894	172273
"MMCO"	64	28	784	10	280	408	166	20	34	8	1	272	32	930	46	206	56	56	8	70	176	4	4	100	82	52	144	22	34	414
"MMR"	14	0	0	2	20	10	0	0	2	0	0	8	0	8	8	36	0	8	0	0	0	0	0	0	0	4	16	2	0	0
"MNTA"	22	8	1767	2	44	18	29	6	0	2	0	20	0	10	16	28	12	8	8	8	44	0	8	17	8	12	27	2	6	26
"MNTH"	39	10	9293	4	91	34	77	20	18	0	0	81	0	24	26	88	10	8	12	17	65	2	4	49	14	7	172	10	0	14
"MNTP"	20	16	1853	6	52	90	24	5	2	0	1	33	0	1028	4	40	20	8	0	20	42	1	4	38	21	2	94	4	6	67
"MNTR"	4	3	3178	8	25	11	43	8	19	0	1	46	0	20	5	28	0	8	0	6	10	0	0	10	18	4	75	0	2	18
"MOC"	8	0	0	0	14	6	24	0	6	2	0	6	0	16	8	8	4	0	4	0	8	0	0	6	4	8	12	0	2	0
"MODA"	28	42	7703	10	208	250	120	22	40	4	0	149	0	484	54	136	42	49	16	42	120	8	4	59	78	24	134	32	29	138
"MODB"	59	14	6177	3	178	213	87	14	40	0	2	135	5	1043	22	113	58	27	8	64	102	2	15	52	72	14	242	4	22	94
"MODC"	162	77	17130	10	600	481	391	100	147	23	6	366	30	708	144	723	142	156	52	151	496	8	34	198	190	101	874	32	70	312
"MOX"	96	50	236	18	361	378	272	64	88	14	0	340	26	1424	98	228	62	126	34	154	248	12	14	178	88	80	298	36	42	638
"MPH"	28	4	2	6	34	18	77	0	20	0	0	14	0	24	34	104	12	0	2	62	16	0	0	16	14	24	44	2	0	2
"MPHA"	30	18	2	6	198	150	114	22	10	4	0	76	6	828	20	50	38	40	6	34	122	2	10	32	26	16	280	34	26	166
"MPHB"	10	0	1720	4	44	50	42	57	4	5	2	58	0	95	36	55	4	14	6	16	45	0	4	26	24	16	102	1	8	12
"MPHC"	12	6	0	0	64	14	26	6	6	4	0	32	0	28	18	58	6	12	0	8	18	0	2	22	6	8	20	4	2	8
"MPHD"	20	2	30	2	74	34	24	12	6	0	0	28	0	150	18	12	12	10	18	28	32	0	4	36	6	6	48	4	8	136
"MPHE"	26	6	0	0	72	133	59	16	8	0	0	49	0	87	36	28	21	24	8	18	18	0	0	12	18	14	44	6	6	20
"MPHG"	18	2	0	0	44	16	20	4	2	4	0	12	2	14	4	26	0	4	0	2	12	0	6	4	16	10	32	0	2	10
"MPHH"	24	36	316	8	238	470	133	36	60	0	0	316	24	2047	72	74	44	64	18	76	166	8	6	54	38	18	326	4	30	577
"MPHI"	20	12	76	2	66	90	52	4	24	0	0	4	0	36	28	68	16	14	6	12	18	2	4	10	14	22	34	14	0	26
"MPHJ"	10	10	0	0	72	62	54	2	18	2	0	40	0	30	22	34	24	16	4	6	22	4	0	18	22	12	58	2	6	22
"MPHK"	6	8	2827	4	39	18	58	5	6	0	0	12	1	33	18	44	16	6	2	10	24	0	0	16	26	8	20	2	7	12
"MPHM"	6	0	0	0	42	32	24	0	8	0	0	4	0	34	4	28	0	6	0	4	20	0	4	0	4	4	26	0	0	6
"MPHN"	24	2	0	0	53	70	70	2	14	0	0	22	0	789	6	21	12	3	6	3	10	2	0	16	4	1	57	0	2	4
"MPHO"	56	48	1720	6	332	730	162	36	46	2	0	356	34	1058	50	102	74	98	14	100	202	4	2	70	82	34	400	12	34	728
"MPRF"	176	63	8329	24	462	392	365	70	100	6	0	214	10	514	96	352	102	144	24	144	296	12	10	142	136	88	391	38	50	334
"MPRFD|RequiresSNPConfirmation"	36	2	5642	0	19	78	26	0	4	0	0	28	0	53	54	48	14	14	0	4	29	0	10	9	12	2	24	0	0	4
"MRDH"	34	2	2	2	50	80	34	22	20	0	0	58	0	58	22	94	26	22	16	14	62	0	2	18	8	24	72	8	16	70
"MREA"	12	8	0	0	42	56	12	0	6	0	0	16	0	32	8	30	20	6	10	4	52	0	0	18	2	10	166	0	6	4
"MSBA"	160	80	12620	38	789	362	764	114	124	26	13	313	8	423	402	607	142	126	54	164	402	17	33	237	293	110	835	38	74	158
"MSI"	116	72	1416	8	436	598	236	60	76	6	4	442	16	1854	64	212	68	144	50	112	298	10	12	124	114	56	488	46	40	618
"MSRA"	22	8	32	0	58	28	50	2	2	0	0	29	0	34	8	84	18	1	14	6	16	4	8	2	3	0	35	0	4	12
"MSRC"	32	20	10	0	154	40	150	20	18	0	0	54	0	70	74	110	22	12	22	20	46	2	6	16	34	28	86	0	2	10
"MSRD"	27	4	113	2	146	123	116	5	17	0	0	78	2	139	35	60	20	8	0	48	47	2	1	20	18	8	77	2	85	12
"MSRE"	30	8	0	4	64	86	39	14	2	0	0	19	0	36	31	66	8	22	6	8	36	0	2	10	22	31	38	8	0	12
"MTRA"	14	6	0	4	76	44	56	12	14	0	0	8	0	114	12	26	18	2	12	14	20	0	0	14	18	4	28	4	2	6
"MTRAD"	37	54	4	14	197	543	141	22	4	0	0	483	40	2784	48	97	44	70	8	70	68	2	6	76	46	32	93	15	30	883
"MTRC"	30	14	660	10	152	144	74	10	28	16	0	84	0	72	32	386	60	60	12	44	122	2	4	98	88	54	152	16	38	64
"MTRD"	147	76	1388	16	510	313	360	34	71	14	4	207	10	467	122	334	141	120	36	94	287	10	14	139	159	76	344	40	44	147
"MTRE"	26	18	1412	4	184	96	102	36	32	2	0	98	2	98	54	116	42	54	8	32	88	4	12	38	44	18	244	12	24	68
"MTRF"	32	42	28	0	98	35	74	25	12	0	0	61	0	32	22	86	10	17	2	37	82	2	8	27	4	28	76	2	14	38
"MTRR|RequiresSNPConfirmation"	6	2	3	8	56	30	86	2	8	4	0	68	0	32	22	24	4	8	2	14	36	0	2	18	18	10	40	0	0	14
"MUPA"	62	4	24	4	89	72	150	2	4	2	0	56	0	66	36	116	14	13	8	28	34	2	6	18	34	22	82	10	0	17
"MUPB"	29	10	4	2	84	25	72	8	4	0	0	36	0	118	55	83	32	6	2	20	32	4	2	16	20	30	13	0	2	2
"MURA|RequiresSNPConfirmation"	130	56	13148	1	359	670	470	35	46	10	3	444	10	1746	187	370	88	102	26	96	203	12	25	126	115	72	317	24	53	673
"MURG|RequiresSNPConfirmation"	2	0	0	2	18	6	32	0	0	0	0	10	2	18	19	8	0	2	2	12	8	0	0	4	4	4	10	0	2	2
"MUS"	4	0	0	0	4	10	20	2	0	0	0	0	0	94	14	12	2	2	2	0	14	0	0	2	2	0	2	0	4	0
"MUXA"	114	66	10887	16	457	588	268	74	44	15	10	455	24	1518	132	218	92	75	36	149	283	2	26	110	164	65	1172	34	50	323
"MUXB"	314	206	26604	40	1317	3115	665	138	232	73	25	1388	98	3840	282	516	276	298	72	411	776	22	28	353	294	151	924	90	136	1376
"MUXC"	215	116	28059	38	929	1477	428	110	124	28	16	704	30	2639	164	584	186	228	54	196	511	10	23	200	227	116	716	98	108	1257
"MVRC"	0	0	334	0	6	14	14	6	0	0	0	10	2	0	2	8	6	0	0	0	0	3	0	0	0	0	8	0	0	2
"MYMT"	2	0	0	0	18	18	14	0	4	0	0	4	0	16	6	8	2	2	0	2	12	0	0	0	0	10	12	8	0	22
"MYO"	20	0	6	0	14	0	6	0	0	0	0	10	0	6	4	4	0	6	0	0	2	0	0	0	0	2	16	0	0	0
"MYRA"	46	52	580	14	282	768	174	18	58	4	2	680	30	2169	74	126	70	89	24	78	160	4	12	87	94	22	358	32	20	646
"MYX"	18	24	0	4	80	214	32	4	10	0	0	118	20	534	26	46	36	24	12	28	30	0	0	36	24	22	36	8	4	302
"NALC|RequiresSNPConfirmation"	32	60	5939	2	106	92	65	29	28	14	0	68	0	818	56	46	14	38	14	28	58	0	4	46	18	4	86	4	16	72
"NALD|RequiresSNPConfirmation"	26	24	5891	12	102	88	64	16	42	10	0	48	2	139	42	68	4	32	12	44	113	4	10	31	12	28	204	8	12	51
"NCCA"	166	124	1164	44	751	822	424	90	156	16	2	508	6	2100	166	322	150	236	42	196	486	10	18	222	237	108	704	52	104	562
"NCCB"	50	28	706	8	276	152	152	22	32	12	0	179	4	214	92	156	46	78	14	66	214	2	8	50	86	44	298	32	24	128
"NCCC"	76	42	0	0	198	154	86	30	50	4	0	94	2	346	56	136	44	44	10	14	132	10	8	36	60	38	142	10	12	66
"NCCH"	16	14	0	0	82	70	44	12	10	0	4	44	0	102	8	40	18	28	22	16	48	0	2	20	2	14	834	4	10	66
"NCCN"	16	18	2	0	76	68	32	10	6	12	0	78	0	112	14	38	12	24	2	20	32	0	0	16	20	0	40	10	16	52
"NCCX"	14	8	220	0	60	56	58	0	12	0	0	12	0	86	6	34	6	20	6	14	66	10	2	54	20	2	62	0	12	14
"NCCY"	14	2	0	0	44	16	10	6	4	0	0	10	0	18	14	10	2	10	0	12	20	0	0	0	4	0	8	0	0	26
"NCRA"	38	50	394	10	172	158	136	22	12	10	0	120	6	252	64	126	18	24	14	48	130	0	2	32	64	4	104	4	16	134
"NCRAN"	26	26	544	6	78	34	52	4	14	8	0	40	4	24	32	76	26	14	2	20	40	0	0	18	20	6	58	10	14	24
"NCRB"	12	10	112	2	52	14	60	4	10	2	0	26	0	34	14	46	2	16	2	20	10	2	0	14	26	12	34	6	4	2
"NCRBN"	4	0	0	0	4	6	2	0	0	0	0	0	0	6	4	4	0	2	2	0	6	0	0	2	6	0	16	0	0	0
"NCRC"	16	22	2	2	52	42	48	2	8	0	0	24	0	24	20	44	10	8	2	20	24	0	0	4	10	4	34	6	0	18
"NCRCN"	38	8	2	2	50	34	56	16	6	4	0	28	0	30	18	36	18	34	10	12	44	2	0	6	30	8	38	6	12	18
"NCRY"	0	0	0	0	2	2	10	0	0	0	0	6	0	2	0	18	12	0	2	0	2	0	2	0	0	0	2	0	2	0
"NCRYN"	16	14	0	0	14	14	26	0	6	0	0	4	0	10	6	16	6	4	10	6	28	0	0	10	6	4	28	0	10	4
"NCZA"	254	80	1934	26	829	1030	476	78	108	26	8	785	48	2736	214	414	192	248	48	186	490	18	6	180	332	114	1238	40	96	1010
"NDH|RequiresSNPConfirmation"	104	153	1082	26	624	1886	401	46	82	10	4	1619	173	9976	128	268	220	249	24	218	284	14	26	232	112	93	746	49	80	2579
"NDM"	34	32	682	0	110	138	108	16	10	14	0	86	0	222	52	60	48	42	22	46	130	4	12	46	42	62	186	10	18	82
"NFSA"	5	10	4217	6	40	45	26	21	2	2	0	51	2	45	12	49	8	5	2	10	8	0	2	18	10	4	80	0	11	32
"NFXB|RequiresSNPConfirmation"	6	6	4037	4	90	92	106	10	6	0	2	62	2	175	40	274	8	26	16	14	42	6	4	20	28	14	27	15	2	58
"NHAA"	14	9	6441	4	32	22	79	38	16	0	0	100	6	28	12	60	16	8	6	16	27	0	2	45	46	2	155	4	0	16
"NHAB"	26	12	8226	3	98	53	121	58	20	0	5	105	3	170	48	131	48	40	8	36	86	0	6	62	58	18	153	18	8	42
"NHLF"	28	30	572	2	52	114	33	0	14	0	0	108	8	2164	12	32	12	16	4	18	50	4	0	28	12	8	98	10	2	154
"NIA"	36	30	434	6	299	330	191	20	42	10	0	220	14	657	84	164	78	86	32	62	163	8	8	82	96	48	778	14	16	382
"NIKA"	50	12	8224	2	80	86	93	14	12	12	0	321	18	348	52	120	24	32	8	43	108	10	16	124	56	20	241	2	16	112
"NIKB"	30	70	5578	2	162	180	83	32	34	2	2	212	26	703	29	117	56	42	10	50	120	14	12	38	48	20	260	10	10	229
"NIKC"	29	20	4804	10	112	104	86	2	25	4	0	155	6	128	51	172	14	40	18	24	128	0	5	56	59	10	188	12	6	26
"NIKD"	44	14	5825	4	137	152	108	24	18	2	0	127	6	113	21	88	16	12	10	30	94	1	4	50	46	34	277	6	9	60
"NIKE"	47	44	6805	12	186	116	153	30	30	14	8	150	8	324	73	144	60	54	12	29	80	26	16	91	56	36	281	18	29	92
"NIKR"	13	16	5040	7	52	6	58	2	10	2	2	47	0	5	17	37	13	13	6	31	31	8	4	27	30	6	64	10	20	10
"NIMA"	4	18	0	2	64	246	54	22	4	2	0	94	6	276	42	24	14	10	8	12	22	4	10	14	6	16	38	2	6	44
"NIMB"	8	0	0	0	30	2	32	2	2	0	0	14	0	8	10	16	0	0	0	0	2	2	0	0	10	0	6	0	2	0
"NIMC"	2	10	0	0	38	14	12	6	4	0	0	6	2	26	2	8	8	4	0	4	32	0	4	0	4	6	16	0	2	22
"NIMD"	2	2	0	0	22	14	18	0	0	0	0	12	0	38	10	16	0	0	0	2	14	0	0	4	6	6	6	0	6	2
"NIME"	4	0	0	2	16	10	44	2	0	2	0	6	2	14	10	28	0	4	8	12	8	2	0	8	8	14	34	4	6	16
"NIMF"	18	0	0	2	20	8	38	6	0	0	0	4	0	2	0	40	6	6	0	2	24	0	0	2	10	0	11	2	0	18
"NIMH"	4	0	0	0	18	0	8	4	4	0	0	10	0	10	0	14	8	0	0	0	4	0	0	6	4	2	4	0	0	0
"NIMI"	10	2	0	2	90	50	64	0	6	0	0	44	4	50	26	50	22	14	8	24	42	2	0	6	27	18	31	2	0	30
"NIMJ"	2	2	0	0	18	6	16	0	0	0	0	4	0	22	4	6	0	4	0	4	12	0	0	4	18	0	24	2	0	4
"NIRA"	60	12	432	0	112	24	88	4	12	14	0	28	0	30	42	80	12	10	16	36	74	0	22	40	40	6	100	10	18	28
"NIRB"	4	0	0	0	12	2	0	2	4	2	0	4	0	2	0	16	0	10	2	2	6	0	0	0	10	0	2	4	0	0
"NIRC"	36	8	2	0	94	44	62	14	18	0	0	28	0	58	32	54	24	20	6	40	38	2	0	34	46	12	54	10	14	28
"NIRD"	6	0	0	0	2	2	10	0	0	0	0	0	0	18	6	14	0	0	0	0	2	2	0	4	12	0	10	0	2	6
"NIXA"	2	6	16	6	36	16	52	16	0	2	0	4	0	16	4	20	8	4	0	6	18	0	4	12	18	10	4	0	2	0
